autor,titulo,top_10_palabras
Ralph Waldo Emerson,Nature,"['nature', 'every', 'world', 'mind', 'beauty', 'spirit', 'things', 'thought', 'life', 'truth']"
Immanuel Kant,Fundamental Principles of the Metaphysic of Morals,"['reason', 'must', 'itself', 'rational', 'principle', 'being', 'laws', 'nature', 'practical', 'moral']"
John Stuart Mill,Utilitarianism,"['happiness', 'justice', 'those', 'more', 'being', 'human', 'moral', 'utility', 'right', 'morality']"
 ,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth,"['more', 'those', 'been', 'were', 'myself', 'should', 'truth', 'heart', 'certain', 'might']"
Arthur Schopenhauer,The World as Will and Idea (Vol. 1 of 3),"['itself', 'knowledge', 'nature', 'therefore', 'idea', 'through', 'reason', 'thus', 'world', 'life']"
Plato,Apology,"['death', 'socrates', 'been', 'should', 'gods', 'evil', 'meletus', 'truth', 'life', 'many']"
William James,"The Will to Believe, and Other Essays in Popular Philosophy","['world', 'must', 'more', 'life', 'things', 'being', 'nature', 'universe', 'mind', 'fact']"
Albert Gallatin Mackey,The Symbolism of Freemasonry,"['symbol', 'were', 'been', 'temple', 'freemasonry', 'symbolism', 'ancient', 'mysteries', 'masonic', 'stone']"
Nietzsche,Also sprach Zarathustra: Ein Buch für Alle und Keinen,"['nicht', 'aber', 'sich', 'noch', 'dass', 'zarathustra', 'auch', 'sein', 'meine', 'mich']"
Arthur Schopenhauer,Essays of Schopenhauer,"['more', 'life', 'been', 'every', 'time', 'nature', 'must', 'people', 'same', 'love']"
 ,"Primitive culture, vol. 2 (of 2) :  Researches into the development of","['among', 'life', 'spirits', 'world', 'religion', 'dead', 'worship', 'spirit', 'souls', 'were']"
Arthur Schopenhauer,Aphorismen zur Lebensweisheit,"['sich', 'nicht', 'auch', 'aber', 'wird', 'oder', 'sind', 'eine', 'denn', 'durch']"
Laozi,Dao De Jing: A Minimalist Translation,"['does', 'thus', 'therefore', 'world', 'sage', 'people', 'without', 'chapter', 'being', 'heaven']"
William James,Pragmatism: A New Name for Some Old Ways of Thinking,"['world', 'truth', 'more', 'true', 'things', 'universe', 'being', 'experience', 'philosophy', 'reality']"
Émile Durkheim,The Elementary Forms of the Religious Life,"['same', 'religious', 'more', 'been', 'totem', 'fact', 'upon', 'among', 'thus', 'life']"
Isaac Newton,Philosophiae Naturalis Principia Mathematica,"['ratione', 'corpus', 'motus', 'quod', 'sunt', 'quam', 'corol', 'erit', 'autem', 'inter']"
 ,"Primitive culture, vol. 1 (of 2) :  Researches into the development of","['among', 'been', 'thus', 'more', 'words', 'language', 'world', 'were', 'life', 'still']"
David Hume,An Enquiry Concerning the Principles of Morals,"['more', 'every', 'must', 'society', 'were', 'nature', 'same', 'sentiment', 'without', 'where']"
Plato,Phaedo,"['soul', 'said', 'socrates', 'body', 'true', 'been', 'more', 'death', 'simmias', 'cebes']"
Edgar Allan Poe,The Works of Edgar Allan Poe — Volume 5,"['upon', 'been', 'were', 'more', 'little', 'said', 'much', 'here', 'should', 'time']"
William James,The Varieties of Religious Experience: A Study in Human Nature,"['life', 'more', 'religious', 'been', 'were', 'must', 'religion', 'being', 'world', 'mind']"
Plato,Theaetetus,"['socrates', 'theaetetus', 'knowledge', 'mind', 'true', 'opinion', 'theodorus', 'another', 'been', 'more']"
Aristotle,Politics: A Treatise on Government,"['those', 'should', 'state', 'government', 'same', 'power', 'others', 'city', 'many', 'people']"
Inazo Nitobe,"Bushido, the Soul of Japan","['were', 'bushido', 'more', 'life', 'samurai', 'japan', 'honor', 'among', 'upon', 'been']"
Friedrich Wilhelm Nietzsche,"The Joyful Wisdom (""La Gaya Scienza"")","['more', 'life', 'been', 'people', 'always', 'still', 'perhaps', 'himself', 'itself', 'however']"
P. W. Bridgman,The logic of modern physics,"['time', 'physical', 'concept', 'operations', 'space', 'nature', 'must', 'light', 'phenomena', 'terms']"
graf Leo Tolstoy,What Is Art?,"['people', 'beauty', 'life', 'feelings', 'more', 'feeling', 'works', 'those', 'religious', 'science']"
 ,The Will to Power: An Attempted Transvaluation of All Values. Book I and II,"['more', 'morality', 'life', 'power', 'must', 'means', 'been', 'moral', 'things', 'values']"
John Stuart Mill,Considerations on Representative Government,"['government', 'more', 'those', 'should', 'people', 'power', 'every', 'public', 'been', 'being']"
Henri Bergson,Laughter: An Essay on the Meaning of the Comic,"['comic', 'more', 'life', 'same', 'laughter', 'though', 'must', 'between', 'comedy', 'certain']"
Plato,Crito,"['socrates', 'crito', 'evil', 'laws', 'right', 'were', 'whether', 'life', 'many', 'shall']"
 ,The Will to Power: An Attempted Transvaluation of All Values. Book III and IV,"['power', 'world', 'more', 'must', 'things', 'itself', 'means', 'life', 'does', 'fact']"
Friedrich Wilhelm Nietzsche,Der Wille zur Macht: Eine Auslegung alles Geschehens,"['sich', 'nicht', 'eine', 'sind', 'sein', 'aber', 'noch', 'auch', 'macht', 'haben']"
Elbert Hubbard,The philosophy of Elbert Hubbard,"['life', 'were', 'world', 'people', 'woman', 'should', 'love', 'fact', 'time', 'thing']"
Bernard Shaw,Man and Superman: A Comedy and a Philosophy,"['tanner', 'juan', 'ramsden', 'octavius', 'violet', 'woman', 'more', 'jack', 'were', 'straker']"
Bertrand Russell,The Analysis of Mind,"['images', 'belief', 'image', 'words', 'more', 'memory', 'word', 'case', 'sensations', 'different']"
Plato,Ion,"['socrates', 'homer', 'rhapsode', 'same', 'poets', 'speak', 'better', 'general', 'knowledge', 'poet']"
Immanuel Kant,The Critique of Practical Reason,"['reason', 'practical', 'moral', 'pure', 'principle', 'must', 'therefore', 'itself', 'object', 'being']"
David Hume,Dialogues Concerning Natural Religion,"['more', 'human', 'nature', 'must', 'reason', 'cleanthes', 'world', 'philo', 'every', 'cause']"
Titus Lucretius Carus,On the Nature of Things,"['book', 'proem', 'nature', 'eternal', 'void', 'atoms', 'character', 'atomic', 'origins', 'title']"
Diogenes Laertius,The Lives and Opinions of Eminent Philosophers,"['said', 'were', 'says', 'those', 'things', 'being', 'used', 'another', 'changed', 'same']"
Oscar Wilde,The Picture of Dorian Gray,"['dorian', 'life', 'said', 'been', 'gray', 'were', 'lord', 'henry', 'basil', 'harry']"
Niccolò Machiavelli,The Prince,"['prince', 'those', 'being', 'been', 'were', 'people', 'others', 'must', 'more', 'himself']"
H. P. Blavatsky,"The Secret Doctrine, Vol. 1 of 4","['matter', 'seven', 'being', 'were', 'more', 'every', 'science', 'life', 'nature', 'called']"
Søren Kierkegaard,Selections from the Writings of Kierkegaard,"['life', 'love', 'more', 'does', 'woman', 'been', 'were', 'himself', 'being', 'same']"
Francis Bacon,The Advancement of Learning,"['more', 'nature', 'hath', 'knowledge', 'upon', 'learning', 'were', 'things', 'mind', 'much']"
Lewis Carroll,Symbolic Logic,"['univ', 'proposition', 'exist', 'things', 'class', 'concl', 'conclusion', 'persons', 'right', 'propositions']"
Epictetus,"The Golden Sayings of Epictetus, with the Hymn of Cleanthes","['thou', 'things', 'thee', 'should', 'himself', 'must', 'life', 'thus', 'unto', 'upon']"
Laozi,"The Tao Teh King, or the Tao and its Characteristics","['does', 'things', 'therefore', 'heaven', 'those', 'people', 'sage', 'without', 'thus', 'state']"
 ,Aesthetical and philosophical essays :  introducing the dissertation on the,"['nature', 'moral', 'must', 'reason', 'more', 'itself', 'mind', 'beauty', 'object', 'form']"
George Santayana,The Life of Reason: The Phases of Human Progress,"['life', 'ideal', 'more', 'world', 'nature', 'experience', 'might', 'natural', 'human', 'were']"
Ivan Sergeevich Turgenev,Fathers and Sons,"['bazarov', 'arkady', 'petrovitch', 'said', 'though', 'upon', 'paul', 'himself', 'nikolai', 'been']"
Aristotle,Aristotle on the art of poetry,"['tragedy', 'same', 'poet', 'however', 'poetry', 'must', 'should', 'word', 'either', 'being']"
Plato,Sophist,"['theaetetus', 'stranger', 'being', 'true', 'another', 'things', 'sophist', 'thought', 'many', 'same']"
Georg Wilhelm Friedrich Hegel,Hegel's Philosophy of Mind,"['self', 'itself', 'mind', 'consciousness', 'life', 'more', 'thus', 'soul', 'unity', 'being']"
Adam Smith,The Theory of Moral Sentiments,"['those', 'upon', 'more', 'should', 'though', 'same', 'been', 'therefore', 'every', 'conduct']"
Bertrand Russell,Mysticism and Logic and Other Essays,"['sense', 'world', 'must', 'been', 'more', 'thing', 'fact', 'data', 'things', 'time']"
Arthur Schopenhauer,The World as Will and Idea (Vol. 3 of 3),"['itself', 'nature', 'therefore', 'thus', 'more', 'upon', 'life', 'world', 'every', 'knowledge']"
Plato,Protagoras,"['said', 'protagoras', 'socrates', 'were', 'virtue', 'knowledge', 'should', 'evil', 'answer', 'pleasure']"
Plato,Parmenides,"['being', 'others', 'itself', 'same', 'many', 'must', 'true', 'ideas', 'parts', 'whole']"
H. P. Blavatsky,"The Secret Doctrine, Vol. 3 of 4","['were', 'seven', 'being', 'those', 'every', 'more', 'been', 'divine', 'thus', 'same']"
Saint de Lisieux Thérèse,Soeur Thérèse de l'Enfant-Jésus et de la Sainte Face,"['elle', 'vous', 'pour', 'dans', 'plus', 'jésus', 'nous', 'bien', 'mais', 'dieu']"
 ,"The Ruins; Or, Meditation on the Revolutions of Empires and the Law of Nature","['nature', 'were', 'those', 'people', 'every', 'said', 'been', 'being', 'same', 'without']"
Aristotle,The Categories,"['said', 'same', 'case', 'thus', 'contrary', 'those', 'subject', 'substance', 'present', 'species']"
Voltaire,Letters on England,"['time', 'were', 'more', 'been', 'those', 'english', 'same', 'much', 'made', 'upon']"
Nietzsche,"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.","['wagner', 'music', 'more', 'life', 'himself', 'been', 'nietzsche', 'whole', 'were', 'upon']"
W. C. Brownell et al.,The Oxford Book of American Essays,"['were', 'more', 'been', 'life', 'time', 'upon', 'every', 'much', 'those', 'never']"
Voltaire,Voltaire's Philosophical Dictionary,"['were', 'been', 'more', 'people', 'being', 'without', 'said', 'should', 'made', 'does']"
H. P. Blavatsky,"The Secret Doctrine, Vol. 2 of 4","['were', 'race', 'seven', 'more', 'earth', 'been', 'those', 'being', 'human', 'same']"
J. B. Bury,The Idea of Progress: An Inquiry into Its Origin and Growth,"['progress', 'been', 'were', 'history', 'human', 'more', 'footnote', 'world', 'nature', 'idea']"
John Stuart Mill,Autobiography,"['were', 'more', 'time', 'been', 'father', 'made', 'those', 'much', 'opinions', 'thought']"
René Descartes,Six metaphysical meditations,"['self', 'things', 'thing', 'idea', 'those', 'more', 'mind', 'should', 'nature', 'therefore']"
Friedrich Wilhelm Nietzsche,Early Greek Philosophy & Other Essays,"['itself', 'world', 'being', 'music', 'state', 'more', 'motion', 'things', 'time', 'through']"
Hegel,Hegel's Lectures on the History of Philosophy: Volume 1 (of 3),"['itself', 'philosophy', 'thus', 'thought', 'being', 'universal', 'form', 'must', 'consciousness', 'socrates']"
John Stuart Mill,"A System of Logic, Ratiocinative and Inductive (Vol. 1 of 2)","['those', 'name', 'been', 'more', 'being', 'general', 'cause', 'same', 'therefore', 'case']"
René Descartes,Discours de la méthode,"['être', 'plus', 'dans', 'pour', 'mais', 'nous', 'même', 'elle', 'peut', 'chose']"
George Berkeley,A Treatise Concerning the Principles of Human Knowledge,"['ideas', 'mind', 'things', 'idea', 'those', 'being', 'without', 'sense', 'motion', 'been']"
John Stuart Mill,"A System of Logic, Ratiocinative and Inductive","['those', 'been', 'more', 'laws', 'general', 'being', 'must', 'same', 'case', 'nature']"
Boykin and Schoenhofer,Nursing as Caring: A Model for Transforming Practice,"['nursing', 'caring', 'nurse', 'situation', 'knowing', 'theory', 'living', 'persons', 'human', 'knowledge']"
John Dewey,The School and Society,"['school', 'child', 'children', 'life', 'more', 'been', 'social', 'education', 'through', 'were']"
Lewis Carroll,The Game of Logic,"['cakes', 'nice', 'conclusion', 'diagram', 'things', 'premisses', '__________', 'proposition', 'propositions', 'attributes']"
Friedrich Schiller,Aesthetical Essays of Friedrich Schiller,"['nature', 'moral', 'reason', 'must', 'beauty', 'itself', 'more', 'mind', 'object', 'without']"
Zhuangzi,"Chuang Tzu: Mystic, Moralist, and Social Reformer","['said', 'without', 'were', 'replied', 'does', 'confucius', 'been', 'life', 'nothing', 'chuang']"
Bertrand Russell,Introduction to Mathematical Philosophy,"['number', 'relation', 'class', 'numbers', 'series', 'terms', 'true', 'classes', 'function', 'definition']"
R. A. Torrey,The Fundamental Doctrines of the Christian faith,"['jesus', 'christ', 'spirit', 'holy', 'lord', 'shall', 'word', 'bible', 'here', 'unto']"
John Dewey,Moral Principles in Education,"['social', 'school', 'moral', 'life', 'child', 'upon', 'education', 'must', 'more', 'power']"
 ,Our Knowledge of the External World as a Field for Scientific Method in,"['must', 'sense', 'number', 'time', 'world', 'more', 'thing', 'fact', 'numbers', 'logic']"
